date,PRC,is_prediction
2012/01/03,19.89,True
2012/01/04,19.79,True
2012/01/05,19.8,True
2012/01/06,19.54,True
2012/01/09,19.7,True
2012/01/10,19.55,True
2012/01/11,19.32,True
2012/01/12,19.16,True
2012/01/13,19.09,True
2012/01/17,19.13,True
2012/01/18,18.94,True
2012/01/19,18.43,True
2012/01/20,18.81,True
2012/01/23,18.74,True
2012/01/24,18.58,True
2012/01/25,18.72,True
2012/01/26,18.48,True
2012/01/27,18.23,True
2012/01/30,18.34,True
2012/01/31,18.47,True
2012/02/01,18.68,True
2012/02/02,18.58,True
2012/02/03,18.88,True
2012/02/06,18.77,True
2012/02/07,18.87,True
2012/02/08,18.89,True
2012/02/09,18.84,True
2012/02/10,18.91,True
2012/02/13,18.86,True
2012/02/14,18.63,True
2012/02/15,18.84,True
2012/02/16,18.85,True
2012/02/17,18.98,True
2012/02/21,18.95,True
2012/02/22,18.79,True
2012/02/23,18.83,True
2012/02/24,18.8,True
2012/02/27,18.62,True
2012/02/28,18.52,True
2012/02/29,19.49,True
2012/03/01,19.36,True
2012/03/02,19.53,True
2012/03/05,19.31,True
2012/03/06,19.16,True
2012/03/07,19.29,True
2012/03/08,19.42,True
2012/03/09,19.26,True
2012/03/12,19.37,True
2012/03/13,19.47,True
2012/03/14,19.14,True
2012/03/15,19.22,True
2012/03/16,19.07,True
2012/03/19,18.94,True
2012/03/20,19.15,True
2012/03/21,19.13,True
2012/03/22,19.3,True
2012/03/23,19.31,True
2012/03/26,19.49,True
2012/03/27,19.54,True
2012/03/28,19.17,True
2012/03/29,19.35,True
2012/03/30,19.72,True
2012/04/02,19.87,True
2012/04/03,19.82,True
2012/04/04,19.63,True
2012/04/05,19.55,True
2012/04/09,19.42,True
2012/04/10,19.06,True
2012/04/11,19.07,True
2012/04/12,19.26,True
2012/04/13,19.17,True
2012/04/16,19.32,True
2012/04/17,19.48,True
2012/04/18,19.32,True
2012/04/19,19.33,True
2012/04/20,19.53,True
2012/04/23,19.28,True
2012/04/24,19.53,True
2012/04/25,19.72,True
2012/04/26,19.85,True
2012/04/27,20.05,True
2012/04/30,20.21,True
2012/05/01,20.42,True
2012/05/02,20.05,True
2012/05/03,19.72,True
2012/05/04,20.05,True
2012/05/07,19.89,True
2012/05/08,19.89,True
2012/05/09,19.77,True
2012/05/10,20.25,True
2012/05/11,20.24,True
2012/05/14,20.08,True
2012/05/15,19.83,True
2012/05/16,20.02,True
2012/05/17,19.83,True
2012/05/18,19.62,True
2012/05/21,19.86,True
2012/05/22,19.98,True
2012/05/23,19.87,True
2012/05/24,20.03,True
2012/05/25,20.18,True
2012/05/29,20.24,True
2012/05/30,20.02,True
2012/05/31,20.23,True
2012/06/01,19.97,True
2012/06/04,19.78,True
2012/06/05,19.93,True
2012/06/06,20.15,True
2012/06/07,20.32,True
2012/06/08,20.4,True
2012/06/11,20.16,True
2012/06/12,20.3,True
2012/06/13,20.3,True
2012/06/14,20.41,True
2012/06/15,20.62,True
2012/06/18,20.71,True
2012/06/19,20.59,True
2012/06/20,20.58,True
2012/06/21,20.18,True
2012/06/22,20.34,True
2012/06/25,20.28,True
2012/06/26,20.29,True
2012/06/27,20.52,True
2012/06/28,20.62,True
2012/06/29,20.67,True
2012/07/02,20.76,True
2012/07/03,20.65,True
2012/07/05,20.46,True
2012/07/06,20.57,True
2012/07/09,20.56,True
2012/07/10,20.47,True
2012/07/11,20.52,True
2012/07/12,20.63,True
2012/07/13,20.99,True
2012/07/16,20.7,True
2012/07/17,20.8,True
2012/07/18,20.95,True
2012/07/19,20.92,True
2012/07/20,21.15,True
2012/07/23,20.97,True
2012/07/24,20.55,True
2012/07/25,20.57,True
2012/07/26,20.89,True
2012/07/27,21.19,True
2012/07/30,21.19,True
2012/07/31,21.06,True
2012/08/01,20.9,True
2012/08/02,20.83,True
2012/08/03,21.16,True
2012/08/06,21.06,True
2012/08/07,21.04,True
2012/08/08,21.11,True
2012/08/09,21.01,True
2012/08/10,21.08,True
2012/08/13,20.78,True
2012/08/14,20.55,True
2012/08/15,20.51,True
2012/08/16,20.42,True
2012/08/17,20.24,True
2012/08/20,20.43,True
2012/08/21,20.43,True
2012/08/22,20.38,True
