date,PRC,is_prediction
2012/01/03,22.15,True
2012/01/04,21.735,True
2012/01/05,21.49,True
2012/01/06,21.47,True
2012/01/09,21.71,True
2012/01/10,22.19,True
2012/01/11,22.31,True
2012/01/12,22.28,True
2012/01/13,21.71,True
2012/01/17,21.57,True
2012/01/18,21.84,True
2012/01/19,21.87,True
2012/01/20,21.56,True
2012/01/23,21.52,True
2012/01/24,20.84,True
2012/01/25,21.21,True
2012/01/26,21.2,True
2012/01/27,21.04,True
2012/01/30,20.98,True
2012/01/31,20.75,True
2012/02/01,21.97,True
2012/02/02,21.76,True
2012/02/03,22.44,True
2012/02/06,22.325,True
2012/02/07,22.53,True
2012/02/08,22.89,True
2012/02/09,22.96,True
2012/02/10,22.8,True
2012/02/13,22.96,True
2012/02/14,23.24,True
2012/02/15,23.16,True
2012/02/16,23.6,True
2012/02/17,23.42,True
2012/02/21,22.7,True
2012/02/22,23.44,True
2012/02/23,23.69,True
2012/02/24,23.48,True
2012/02/27,23.19,True
2012/02/28,23.19,True
2012/02/29,23.44,True
2012/03/01,23.64,True
2012/03/02,23.16,True
2012/03/05,22.65,True
2012/03/06,22.205,True
2012/03/07,22.37,True
2012/03/08,22.58,True
2012/03/09,22.97,True
2012/03/12,22.79,True
2012/03/13,23.13,True
2012/03/14,22.66,True
2012/03/15,22.97,True
2012/03/16,22.89,True
2012/03/19,22.87,True
2012/03/20,22.74,True
2012/03/21,23.06,True
2012/03/22,23.07,True
2012/03/23,22.98,True
2012/03/26,23.32,True
2012/03/27,23.35,True
2012/03/28,23.145,True
2012/03/29,23.2,True
2012/03/30,23.45,True
2012/04/02,23.51,True
2012/04/03,23.54,True
2012/04/04,23.16,True
2012/04/05,22.59,True
2012/04/09,21.98,True
2012/04/10,21.53,True
2012/04/11,21.9,True
2012/04/12,22.385,True
2012/04/13,22.07,True
2012/04/16,22.1,True
2012/04/17,22.67,True
2012/04/18,22.505,True
2012/04/19,22.09,True
2012/04/20,21.84,True
2012/04/23,21.56,True
2012/04/24,21.94,True
2012/04/25,22.2,True
2012/04/26,22.13,True
2012/04/27,22.08,True
2012/04/30,21.69,True
2012/05/01,21.705,True
2012/05/02,21.42,True
2012/05/03,21.23,True
2012/05/04,21.0,True
2012/05/07,21.05,True
2012/05/08,21.0,True
2012/05/09,20.64,True
2012/05/10,21.08,True
2012/05/11,21.52,True
2012/05/14,21.42,True
2012/05/15,21.22,True
2012/05/16,21.28,True
2012/05/17,21.16,True
2012/05/18,20.811,True
2012/05/21,21.21,True
2012/05/22,21.27,True
2012/05/23,20.89,True
2012/05/24,21.28,True
2012/05/25,21.63,True
2012/05/29,21.89,True
2012/05/30,21.53,True
2012/05/31,21.67,True
2012/06/01,20.98,True
2012/06/04,20.9,True
2012/06/05,20.985,True
2012/06/06,21.37,True
2012/06/07,21.39,True
2012/06/08,21.55,True
2012/06/11,21.11,True
2012/06/12,21.01,True
2012/06/13,20.86,True
2012/06/14,21.03,True
2012/06/15,21.2,True
2012/06/18,21.07,True
2012/06/19,21.34,True
2012/06/20,21.53,True
2012/06/21,21.115,True
2012/06/22,21.23,True
2012/06/25,20.795,True
2012/06/26,20.67,True
2012/06/27,20.95,True
2012/06/28,20.82,True
2012/06/29,21.37,True
2012/07/02,21.74,True
2012/07/03,22.07,True
2012/07/05,21.77,True
2012/07/06,21.59,True
2012/07/09,21.82,True
2012/07/10,21.59,True
2012/07/11,21.65,True
2012/07/12,21.58,True
2012/07/13,22.06,True
2012/07/16,22.09,True
2012/07/17,22.5,True
2012/07/18,22.55,True
2012/07/19,22.61,True
2012/07/20,22.3,True
2012/07/23,22.0,True
2012/07/24,21.54,True
2012/07/25,21.69,True
2012/07/26,22.75,True
2012/07/27,23.265,True
2012/07/30,23.34,True
2012/07/31,23.03,True
2012/08/01,22.95,True
2012/08/02,22.74,True
2012/08/03,23.13,True
2012/08/06,23.25,True
2012/08/07,23.25,True
2012/08/08,23.18,True
2012/08/09,23.3,True
2012/08/10,23.46,True
2012/08/13,23.49,True
2012/08/14,23.4,True
2012/08/15,23.62,True
2012/08/16,23.74,True
2012/08/17,23.63,True
2012/08/20,23.88,True
2012/08/21,23.83,True
2012/08/22,23.76,True
2012/08/23,23.56,True
2012/08/24,23.79,True
2012/08/27,23.59,True
2012/08/28,23.43,True
2012/08/29,23.61,True
2012/08/30,23.48,True
2012/08/31,23.57,True
2012/09/04,23.64,True
2012/09/05,23.79,True
2012/09/06,24.065,True
2012/09/07,24.06,True
2012/09/10,23.95,True
2012/09/11,24.01,True
2012/09/12,23.96,True
2012/09/13,24.26,True
2012/09/14,24.3,True
2012/09/17,24.2,True
2012/09/18,24.345,True
2012/09/19,24.41,True
2012/09/20,24.49,True
2012/09/21,24.55,True
2012/09/24,24.195,True
2012/09/25,24.22,True
2012/09/26,24.045,True
2012/09/27,24.495,True
2012/09/28,24.3717,True
2012/10/01,24.33,True
2012/10/02,24.35,True
2012/10/03,24.53,True
2012/10/04,24.67,True
2012/10/05,24.63,True
2012/10/08,24.55,True
2012/10/09,24.07,True
2012/10/10,23.94,True
2012/10/11,23.96,True
2012/10/12,23.78,True
2012/10/15,23.96,True
2012/10/16,24.04,True
2012/10/17,24.28,True
2012/10/18,24.125,True
2012/10/19,23.648000000000003,True
2012/10/22,23.68,True
2012/10/23,23.44,True
2012/10/24,23.94,True
2012/10/25,25.0,True
2012/10/26,25.22,True
2012/10/31,25.34,True
2012/11/01,25.885,True
2012/11/02,25.68,True
2012/11/05,25.84,True
2012/11/06,26.02,True
2012/11/07,25.82,True
2012/11/08,25.65,True
2012/11/09,25.87,True
2012/11/12,26.035,True
2012/11/13,26.15,True
2012/11/14,25.6,True
2012/11/15,25.4991,True
2012/11/16,25.5409,True
2012/11/19,25.94,True
2012/11/20,26.03,True
2012/11/21,26.49,True
2012/11/23,27.11,True
2012/11/26,26.99,True
2012/11/27,27.2,True
2012/11/28,27.19,True
2012/11/29,27.29,True
2012/11/30,27.18,True
2012/12/03,27.36,True
2012/12/04,27.385,True
2012/12/05,27.27,True
2012/12/06,27.31,True
2012/12/07,27.26,True
2012/12/10,28.02,True
2012/12/11,27.85,True
2012/12/12,27.84,True
2012/12/13,27.97,True
2012/12/14,27.97,True
2012/12/17,28.19,True
2012/12/18,28.3,True
2012/12/19,27.74,True
2012/12/20,27.77,True
2012/12/21,27.81,True
2012/12/24,27.95,True
2012/12/26,27.45,True
2012/12/27,27.35,True
2012/12/28,26.92,True
2012/12/31,27.45,True
2013/01/01,27.564804617428887,False
2013/01/02,27.670444145012894,False
2013/01/03,27.652357766160694,False
2013/01/04,27.6344014145426,False
2013/01/07,27.61440776580075,False
2013/01/08,27.65009099246164,False
2013/01/09,27.669014883437132,False
2013/01/10,27.70115820539748,False
2013/01/11,27.724521330825418,False
2013/01/14,27.747572635142017,False
2013/01/15,27.768534293180803,False
2013/01/16,27.790858504972423,False
2013/01/17,27.812052457747136,False
2013/01/18,27.83445499306179,False
2013/01/21,27.856475135714025,False
2013/01/22,27.87878387753974,False
2013/01/23,27.90097181075747,False
2013/01/24,27.923197882059338,False
2013/01/25,27.945328878779463,False
2013/01/28,27.967505374181457,False
2013/01/29,27.989645353224613,False
2013/01/30,28.011811905069493,False
2013/01/31,28.033972329325966,False
2013/02/01,28.05613985693069,False
2013/02/04,28.07830344986352,False
2013/02/05,28.100469448642034,False
2013/02/06,28.12263254543279,False
2013/02/07,28.144796937846728,False
2013/02/08,28.166960472123296,False
2013/02/11,28.18912456018125,False
2013/02/12,28.21128848027189,False
2013/02/13,28.23345264033677,False
2013/02/14,28.255616685814555,False
2013/02/15,28.277780830757827,False
2013/02/18,28.2999449197744,False
2013/02/19,28.32210905538366,False
2013/02/20,28.344273187764653,False
2013/02/21,28.366437339506,False
2013/02/22,28.388601497331333,False
2013/02/25,28.410765680598175,False
2013/02/26,28.43292984678481,False
2013/02/27,28.45509405627595,False
2013/02/28,28.477258274235748,False
2013/03/01,28.499422515162937,False
2013/03/04,28.52158676595355,False
2013/03/05,28.543751029816278,False
2013/03/06,28.565915307330926,False
2013/03/07,28.588079581291428,False
2013/03/08,28.610243874032435,False
2013/03/11,28.632408184863984,False
