date,PRC,is_prediction
2012/01/03,74.66,True
2012/01/04,75.05,True
2012/01/05,74.33,True
2012/01/06,73.9,True
2012/01/09,74.1,True
2012/01/10,76.03,True
2012/01/11,76.7,True
2012/01/12,77.24,True
2012/01/13,76.08,True
2012/01/17,77.04,True
2012/01/18,77.6,True
2012/01/19,77.19,True
2012/01/20,76.69,True
2012/01/23,76.86,True
2012/01/24,77.78,True
2012/01/25,77.65,True
2012/01/26,77.41,True
2012/01/27,77.62,True
2012/01/30,77.61,True
2012/01/31,78.35,True
2012/02/01,80.22,True
2012/02/02,80.02,True
2012/02/03,81.05,True
2012/02/06,80.57,True
2012/02/07,80.28,True
2012/02/08,81.74,True
2012/02/09,83.78,True
2012/02/10,83.5,True
2012/02/13,84.88,True
2012/02/14,84.64,True
2012/02/15,82.6,True
2012/02/16,83.22,True
2012/02/17,83.78,True
2012/02/21,83.96,True
2012/02/22,83.95,True
2012/02/23,83.49,True
2012/02/24,83.97,True
2012/02/27,83.63,True
2012/02/28,83.47,True
2012/02/29,83.87,True
2012/03/01,84.16,True
2012/03/02,84.54,True
2012/03/05,83.29,True
2012/03/06,81.39,True
2012/03/07,82.57,True
2012/03/08,83.53,True
2012/03/09,83.55,True
2012/03/12,83.99,True
2012/03/13,86.57,True
2012/03/14,86.81,True
2012/03/15,86.89,True
2012/03/16,85.48,True
2012/03/19,84.62,True
2012/03/20,83.26,True
2012/03/21,82.72,True
2012/03/22,82.07,True
2012/03/23,81.8,True
2012/03/26,83.5,True
2012/03/27,83.11,True
2012/03/28,81.52,True
2012/03/29,82.32,True
2012/03/30,82.94,True
2012/04/02,82.73,True
2012/04/03,82.2,True
2012/04/04,81.92,True
2012/04/05,81.6,True
2012/04/09,80.23,True
2012/04/10,78.48,True
2012/04/11,79.63,True
2012/04/12,81.17,True
2012/04/13,79.8,True
2012/04/16,79.88,True
2012/04/17,81.24,True
2012/04/18,81.2,True
2012/04/19,80.4,True
2012/04/20,81.0,True
2012/04/23,79.75,True
2012/04/24,79.85,True
2012/04/25,79.81,True
2012/04/26,81.25,True
2012/04/27,82.0,True
2012/04/30,81.64,True
2012/05/01,81.43,True
2012/05/02,81.55,True
2012/05/03,80.91,True
2012/05/04,79.48,True
2012/05/07,78.91,True
2012/05/08,78.82,True
2012/05/09,77.01,True
2012/05/10,77.29,True
2012/05/11,77.18,True
2012/05/14,75.95,True
2012/05/15,76.17,True
2012/05/16,74.7,True
2012/05/17,73.33,True
2012/05/18,72.38,True
2012/05/21,73.7,True
2012/05/22,73.94,True
2012/05/23,74.06,True
2012/05/24,73.5,True
2012/05/25,73.02,True
2012/05/29,75.09,True
2012/05/30,73.74,True
2012/05/31,74.11,True
2012/06/01,72.02,True
2012/06/04,71.45,True
2012/06/05,70.88,True
2012/06/06,73.64,True
2012/06/07,75.4,True
2012/06/08,75.5,True
2012/06/11,74.62,True
2012/06/12,74.35,True
2012/06/13,73.54,True
2012/06/14,74.14,True
2012/06/15,74.49,True
2012/06/18,75.0,True
2012/06/19,76.4,True
2012/06/20,75.91,True
2012/06/21,74.82,True
2012/06/22,75.2,True
2012/06/25,73.75,True
2012/06/26,73.63,True
2012/06/27,74.16,True
2012/06/28,72.6,True
2012/06/29,75.53,True
2012/07/02,75.04,True
2012/07/03,75.75,True
2012/07/05,75.39,True
2012/07/06,74.09,True
2012/07/09,74.33,True
2012/07/10,74.15,True
2012/07/11,72.51,True
2012/07/12,71.84,True
2012/07/13,73.59,True
2012/07/16,73.21,True
2012/07/17,73.6,True
2012/07/18,74.85,True
2012/07/19,75.82,True
2012/07/20,74.23,True
2012/07/23,73.28,True
2012/07/24,71.94,True
2012/07/25,72.61,True
2012/07/26,72.93,True
2012/07/27,74.28,True
2012/07/30,74.97,True
2012/07/31,74.44,True
2012/08/01,74.79,True
2012/08/02,74.44,True
2012/08/03,76.81,True
2012/08/06,76.65,True
2012/08/07,78.12,True
2012/08/08,77.48,True
2012/08/09,77.03,True
2012/08/10,77.89,True
2012/08/13,77.47,True
2012/08/14,77.78,True
2012/08/15,77.99,True
2012/08/16,78.77,True
2012/08/17,80.37,True
2012/08/20,80.08,True
2012/08/21,79.27,True
2012/08/22,79.66,True
2012/08/23,79.2,True
2012/08/24,80.08,True
2012/08/27,80.56,True
2012/08/28,80.64,True
2012/08/29,80.17,True
2012/08/30,79.06,True
2012/08/31,79.85,True
2012/09/04,78.35,True
2012/09/05,78.03,True
2012/09/06,79.4,True
2012/09/07,79.41,True
2012/09/10,78.61,True
2012/09/11,78.76,True
2012/09/12,78.83,True
2012/09/13,80.53,True
2012/09/14,82.45,True
2012/09/17,82.15,True
2012/09/18,81.48,True
2012/09/19,81.72,True
2012/09/20,80.92,True
2012/09/21,80.75,True
2012/09/24,80.03,True
2012/09/25,78.77,True
2012/09/26,78.53,True
2012/09/27,78.35,True
2012/09/28,78.29,True
2012/10/01,78.35,True
2012/10/02,78.39,True
2012/10/03,78.56,True
2012/10/04,78.53,True
2012/10/05,78.51,True
2012/10/08,78.37,True
2012/10/09,77.33,True
2012/10/10,76.02,True
2012/10/11,76.05,True
2012/10/12,75.96,True
2012/10/15,76.15,True
2012/10/16,77.6,True
2012/10/17,78.54,True
2012/10/18,79.23,True
2012/10/19,77.99,True
2012/10/22,77.83,True
2012/10/23,77.07,True
