date,PRC,is_prediction
2012/01/03,58.56,True
2012/01/04,58.14,True
2012/01/05,58.69,True
2012/01/06,58.4,True
2012/01/09,58.93,True
2012/01/10,59.19,True
2012/01/11,59.72,True
2012/01/12,61.04,True
2012/01/13,60.79,True
2012/01/17,61.26,True
2012/01/18,61.88,True
2012/01/19,62.56,True
2012/01/20,62.64,True
2012/01/23,62.83,True
2012/01/24,62.92,True
2012/01/25,63.4,True
2012/01/26,63.26,True
2012/01/27,63.05,True
2012/01/30,62.61,True
2012/01/31,62.89,True
2012/02/01,63.85,True
2012/02/02,63.11,True
2012/02/03,65.88,True
2012/02/06,65.21,True
2012/02/07,64.93,True
2012/02/08,64.895,True
2012/02/09,64.89,True
2012/02/10,64.23,True
2012/02/13,64.94,True
2012/02/14,65.37,True
2012/02/15,64.65,True
2012/02/16,65.22,True
2012/02/17,65.11,True
2012/02/21,65.31,True
2012/02/22,65.27,True
2012/02/23,65.84,True
2012/02/24,66.87,True
2012/02/27,66.48,True
2012/02/28,66.54,True
2012/02/29,66.3,True
2012/03/01,66.72,True
2012/03/02,66.41,True
2012/03/05,66.54,True
2012/03/06,66.1,True
2012/03/07,66.84,True
2012/03/08,67.88,True
2012/03/09,67.97,True
2012/03/12,68.21,True
2012/03/13,68.87,True
2012/03/14,69.29,True
2012/03/15,69.44,True
2012/03/16,69.17,True
2012/03/19,68.92,True
2012/03/20,68.77,True
2012/03/21,68.99,True
2012/03/22,69.0,True
2012/03/23,69.26,True
2012/03/26,69.96,True
2012/03/27,69.7,True
2012/03/28,69.49,True
2012/03/29,69.59,True
2012/03/30,69.39,True
2012/04/02,70.41,True
2012/04/03,70.22,True
2012/04/04,69.21,True
2012/04/05,69.34,True
2012/04/09,68.77,True
2012/04/10,67.59,True
2012/04/11,68.35,True
2012/04/12,69.11,True
2012/04/13,68.5,True
2012/04/16,68.74,True
2012/04/17,70.03,True
2012/04/18,69.22,True
2012/04/19,68.73,True
2012/04/20,68.92,True
2012/04/23,69.0,True
2012/04/24,69.05,True
2012/04/25,69.32,True
2012/04/26,70.07,True
2012/04/27,70.67,True
2012/04/30,70.29,True
2012/05/01,70.75,True
2012/05/02,69.83,True
2012/05/03,69.07,True
2012/05/04,67.51,True
2012/05/07,67.06,True
2012/05/08,66.54,True
2012/05/09,66.28,True
2012/05/10,66.47,True
2012/05/11,66.56,True
2012/05/14,66.04,True
2012/05/15,66.18,True
2012/05/16,65.96,True
2012/05/17,65.33,True
2012/05/18,64.61,True
2012/05/21,65.98,True
2012/05/22,66.23,True
2012/05/23,66.7,True
2012/05/24,66.96,True
2012/05/25,67.17,True
2012/05/29,67.62,True
2012/05/30,66.7,True
2012/05/31,67.43,True
2012/06/01,65.58,True
2012/06/04,66.41,True
2012/06/05,67.13,True
2012/06/06,68.47,True
2012/06/07,68.47,True
2012/06/08,69.1,True
2012/06/11,68.45,True
2012/06/12,69.1,True
2012/06/13,68.46,True
2012/06/14,69.73,True
2012/06/15,70.87,True
2012/06/18,70.36,True
2012/06/19,70.81,True
2012/06/20,70.92,True
2012/06/21,68.87,True
2012/06/22,69.68,True
2012/06/25,68.86,True
2012/06/26,69.19,True
2012/06/27,70.43,True
2012/06/28,69.81,True
2012/06/29,72.22,True
2012/07/02,72.6,True
2012/07/03,72.86,True
2012/07/05,72.79,True
2012/07/06,72.08,True
2012/07/09,72.08,True
2012/07/10,70.52,True
2012/07/11,70.96,True
2012/07/12,70.48,True
2012/07/13,70.95,True
2012/07/16,71.07,True
2012/07/17,71.19,True
2012/07/18,71.95,True
2012/07/19,71.52,True
2012/07/20,71.1,True
2012/07/23,69.67,True
2012/07/24,69.2,True
2012/07/25,68.97,True
2012/07/26,70.8,True
2012/07/27,72.38,True
2012/07/30,72.25,True
2012/07/31,70.13,True
2012/08/01,69.65,True
2012/08/02,68.19,True
2012/08/03,69.62,True
2012/08/06,69.59,True
2012/08/07,69.42,True
2012/08/08,70.16,True
2012/08/09,70.03,True
2012/08/10,69.88,True
2012/08/13,70.81,True
2012/08/14,70.77,True
2012/08/15,71.16,True
2012/08/16,71.485,True
2012/08/17,71.41,True
2012/08/20,70.75,True
2012/08/21,70.81,True
2012/08/22,70.38,True
2012/08/23,70.47,True
2012/08/24,70.87,True
2012/08/27,70.61,True
2012/08/28,70.05,True
2012/08/29,71.17,True
