date,PRC,is_prediction
2012/01/03,25.86,True
2012/01/04,25.92,True
2012/01/05,26.17,True
2012/01/06,25.79,True
2012/01/09,26.4,True
2012/01/10,26.73,True
2012/01/11,26.76,True
2012/01/12,27.05,True
2012/01/13,27.23,True
2012/01/17,27.24,True
2012/01/18,27.44,True
2012/01/19,27.12,True
2012/01/20,27.49,True
2012/01/23,27.74,True
2012/01/24,27.75,True
2012/01/25,27.7,True
2012/01/26,27.04,True
2012/01/27,26.95,True
2012/01/30,27.21,True
2012/01/31,27.19,True
2012/02/01,27.95,True
2012/02/02,28.02,True
2012/02/03,29.12,True
2012/02/06,28.82,True
2012/02/07,29.52,True
2012/02/08,29.65,True
2012/02/09,29.42,True
2012/02/10,29.33,True
2012/02/13,29.65,True
2012/02/14,29.6,True
2012/02/15,29.38,True
2012/02/16,30.19,True
2012/02/17,30.33,True
2012/02/21,30.09,True
2012/02/22,29.47,True
2012/02/23,29.81,True
2012/02/24,29.48,True
2012/02/27,29.76,True
2012/02/28,29.45,True
2012/02/29,29.25,True
2012/03/01,29.22,True
2012/03/02,29.31,True
2012/03/05,28.96,True
2012/03/06,28.31,True
2012/03/07,28.74,True
2012/03/08,29.1,True
2012/03/09,29.46,True
2012/03/12,29.31,True
2012/03/13,30.4,True
2012/03/14,30.42,True
2012/03/15,31.2,True
2012/03/16,31.06,True
2012/03/19,31.38,True
2012/03/20,31.37,True
2012/03/21,31.07,True
2012/03/22,30.83,True
2012/03/23,30.99,True
2012/03/26,31.42,True
2012/03/27,31.08,True
2012/03/28,31.88,True
2012/03/29,31.47,True
2012/03/30,31.39,True
2012/04/02,31.34,True
2012/04/03,31.69,True
2012/04/04,31.37,True
2012/04/05,31.3,True
2012/04/09,30.63,True
2012/04/10,29.96,True
2012/04/11,30.58,True
2012/04/12,31.18,True
2012/04/13,30.49,True
2012/04/16,30.83,True
2012/04/17,31.26,True
2012/04/18,31.28,True
2012/04/19,31.1,True
2012/04/20,31.58,True
2012/04/23,31.64,True
2012/04/24,31.95,True
2012/04/25,32.44,True
2012/04/26,32.49,True
2012/04/27,32.63,True
2012/04/30,32.04,True
2012/05/01,32.38,True
2012/05/02,32.19,True
2012/05/03,32.04,True
2012/05/04,31.57,True
2012/05/07,31.87,True
2012/05/08,31.63,True
2012/05/09,31.23,True
2012/05/10,31.77,True
2012/05/11,31.75,True
2012/05/14,31.14,True
2012/05/15,30.74,True
2012/05/16,30.64,True
2012/05/17,30.11,True
2012/05/18,29.68,True
2012/05/21,30.01,True
2012/05/22,30.1,True
2012/05/23,30.14,True
2012/05/24,30.26,True
2012/05/25,30.43,True
2012/05/29,30.64,True
2012/05/30,30.16,True
2012/05/31,30.22,True
2012/06/01,28.35,True
2012/06/04,27.64,True
2012/06/05,27.85,True
2012/06/06,28.39,True
2012/06/07,28.54,True
2012/06/08,29.01,True
2012/06/11,28.48,True
2012/06/12,29.01,True
2012/06/13,28.82,True
2012/06/14,29.38,True
2012/06/15,29.82,True
2012/06/18,30.05,True
2012/06/19,30.27,True
2012/06/20,30.28,True
2012/06/21,29.97,True
2012/06/22,30.39,True
2012/06/25,29.6,True
2012/06/26,29.44,True
2012/06/27,29.89,True
2012/06/28,30.2,True
2012/06/29,30.85,True
2012/07/02,31.11,True
2012/07/03,31.15,True
2012/07/05,30.9,True
2012/07/06,30.95,True
2012/07/09,30.84,True
2012/07/10,30.67,True
2012/07/11,31.0,True
2012/07/12,30.78,True
2012/07/13,31.5,True
2012/07/16,31.45,True
2012/07/17,31.88,True
2012/07/18,31.61,True
2012/07/19,32.0,True
2012/07/20,31.68,True
2012/07/23,31.49,True
2012/07/24,31.63,True
2012/07/25,31.65,True
2012/07/26,32.08,True
2012/07/27,32.4,True
2012/07/30,31.71,True
2012/07/31,31.37,True
2012/08/01,31.31,True
2012/08/02,31.08,True
2012/08/03,31.65,True
2012/08/06,31.52,True
2012/08/07,31.67,True
2012/08/08,31.59,True
2012/08/09,31.7,True
2012/08/10,31.56,True
2012/08/13,31.6,True
2012/08/14,31.55,True
2012/08/15,31.88,True
2012/08/16,31.78,True
2012/08/17,31.96,True
2012/08/20,31.85,True
2012/08/21,31.66,True
2012/08/22,31.74,True
2012/08/23,31.01,True
2012/08/24,31.11,True
2012/08/27,31.19,True
2012/08/28,31.52,True
2012/08/29,31.7,True
2012/08/30,31.6,True
2012/08/31,31.54,True
2012/09/04,31.72,True
2012/09/05,31.79,True
2012/09/06,32.29,True
2012/09/07,32.86,True
2012/09/10,32.58,True
2012/09/11,32.56,True
2012/09/12,32.86,True
2012/09/13,33.62,True
2012/09/14,33.99,True
2012/09/17,33.57,True
2012/09/18,33.46,True
2012/09/19,33.61,True
2012/09/20,33.49,True
2012/09/21,33.31,True
2012/09/24,33.31,True
2012/09/25,33.17,True
2012/09/26,32.72,True
2012/09/27,33.11,True
2012/09/28,33.16,True
2012/10/01,32.96,True
2012/10/02,33.0,True
2012/10/03,33.17,True
2012/10/04,33.58,True
2012/10/05,33.64,True
2012/10/08,33.48,True
2012/10/09,33.22,True
2012/10/10,33.18,True
2012/10/11,33.2,True
2012/10/12,32.34,True
2012/10/15,32.39,True
2012/10/16,31.81,True
2012/10/17,32.27,True
2012/10/18,29.98,True
2012/10/19,29.78,True
2012/10/22,29.37,True
2012/10/23,28.81,True
2012/10/24,28.81,True
2012/10/25,28.95,True
2012/10/26,29.01,True
2012/10/31,28.95,True
2012/11/01,29.31,True
2012/11/02,29.42,True
2012/11/05,28.94,True
2012/11/06,29.25,True
2012/11/07,27.78,True
2012/11/08,27.65,True
2012/11/09,27.55,True
2012/11/12,27.7,True
2012/11/13,27.45,True
2012/11/14,27.09,True
2012/11/15,27.55,True
2012/11/16,28.04,True
2012/11/19,28.38,True
2012/11/20,28.45,True
2012/11/21,28.38,True
2012/11/23,28.81,True
2012/11/26,28.7,True
2012/11/27,28.14,True
2012/11/28,28.22,True
2012/11/29,28.21,True
2012/11/30,28.17,True
2012/12/03,27.91,True
2012/12/04,27.69,True
2012/12/05,27.86,True
2012/12/06,28.23,True
2012/12/07,28.42,True
2012/12/10,28.36,True
2012/12/11,28.46,True
2012/12/12,28.84,True
2012/12/13,28.58,True
2012/12/14,28.29,True
2012/12/17,29.15,True
2012/12/18,29.64,True
2012/12/19,29.51,True
2012/12/20,29.64,True
2012/12/21,29.45,True
2012/12/24,29.24,True
2012/12/26,29.21,True
2012/12/27,29.06,True
2012/12/28,28.85,True
2012/12/31,29.11,True
2013/01/01,29.117622410634983,False
2013/01/02,29.157504800954843,False
2013/01/03,29.16487137286304,False
2013/01/04,29.220338076197525,False
2013/01/07,29.216798082811035,False
2013/01/08,29.22318305580474,False
2013/01/09,29.23695141064306,False
2013/01/10,29.251331415898637,False
2013/01/11,29.260788391815687,False
2013/01/14,29.27329849647226,False
2013/01/15,29.28809462107873,False
2013/01/16,29.301087079497194,False
2013/01/17,29.31391619363877,False
2013/01/18,29.327249621029825,False
2013/01/21,29.34066002673303,False
2013/01/22,29.353610173247002,False
2013/01/23,29.366684988244522,False
2013/01/24,29.379865221386986,False
2013/01/25,29.392993524058884,False
2013/01/28,29.406076288666878,False
2013/01/29,29.41920606634593,False
2013/01/30,29.43234584980496,False
2013/01/31,29.445465048177958,False
2013/02/01,29.45858531486969,False
2013/02/04,29.471714006857912,False
2013/02/05,29.484840187120774,False
2013/02/06,29.497962580145245,False
2013/02/07,29.511087016005387,False
2013/02/08,29.524212431469685,False
2013/02/11,29.537336774857785,False
2013/02/12,29.55046082040488,False
2013/02/13,29.563585455944928,False
2013/02/14,29.57671004614967,False
2013/02/15,29.589834379222765,False
2013/02/18,29.60295882640804,False
2013/02/19,29.616083408678485,False
2013/02/20,29.629207881960113,False
2013/02/21,29.642332323621538,False
2013/02/22,29.65545678130925,False
2013/02/25,29.668581248339866,False
2013/02/26,29.68170566910163,False
2013/02/27,29.694830100767273,False
2013/02/28,29.707954531543532,False
2013/03/01,29.721078938152935,False
2013/03/04,29.734203367943536,False
2013/03/05,29.74732776612359,False
2013/03/06,29.76045215347375,False
2013/03/07,29.77357653202533,False
2013/03/08,29.78670089790611,False
2013/03/11,29.799825275015166,False
